number,class,text,score,,class,average,max,min,count,,number of > average,%,number of общий average,%
0,0,I can't seem to get my card activated.,0.780739863,,общий,0.540269069,0.811858122,-0.026537266,9864,,5445,0.552007299,5254,0.532643958
1,0,"Help me with the process of activating my card, please.",0.799029013,,0,0.653251255,0.811858122,0.396015014,67,,34,0.507462687,56,0.835820896
2,0,My new card needs to be activated before I can use it.,0.770285202,,1,0.546244931,0.664875343,0.269638661,166,,94,0.56626506,97,0.584337349
3,0,Can you assist me in activating my card?,0.765272012,,2,0.465381541,0.619201535,0.084626433,139,,72,0.517985612,33,0.237410072
4,0,What steps do I need to follow to activate my new card?,0.783442768,,3,0.54842188,0.673350136,0.367849352,211,,111,0.526066351,119,0.563981043
5,0,There seems to be some problem with activating my card.,0.724440316,,4,0.500473637,0.639486667,0.207071199,136,,79,0.580882353,50,0.367647059
6,0,Is there a specific time frame within which I need to activate the newly received card?,0.616624443,,5,0.481730728,0.614531027,0.139450073,55,,35,0.636363636,20,0.363636364
7,0,Could you tell me how long it takes for a new credit/debit card to be activated?,0.58651357,,6,0.508429739,0.675461694,0.365434037,24,,11,0.458333333,8,0.333333333
8,0,"My debit/credit cards have been lost, what should I do from here on-wards? How will they be reactivated?",0.396015014,,7,0.472417274,0.608378185,0.24229519,69,,37,0.536231884,11,0.15942029
9,0,What happens if there is an error in activating a bank's debit or credit cards?,0.434354735,,8,0.559092921,0.668684909,0.409353287,76,,37,0.486842105,41,0.539473684
10,0,Can I activate my card online?,0.717235023,,9,0.579180176,0.724269066,0.228000238,130,,67,0.515384615,93,0.715384615
11,0,Is there a phone number I can call to activate my card?,0.705358439,,10,0.508240455,0.656594798,0.210461124,266,,152,0.571428571,111,0.417293233
12,0,What is the fastest way to activate my card?,0.746880437,,11,0.557130083,0.674816541,0.324653688,80,,51,0.6375,56,0.7
13,0,Do I need to have a certain amount of money in my account before activating the card?,0.543182703,,12,0.50896742,0.649993682,0.234896774,167,,89,0.532934132,75,0.449101796
14,0,What information do I need to provide in order to activate my card?,0.736041503,,13,0.541242698,0.693030828,0.21631033,115,,63,0.547826087,63,0.547826087
15,0,Can I activate multiple cards at once?,0.539786326,,14,0.533016786,0.724652267,0.176047728,163,,96,0.588957055,89,0.54601227
16,0,How long does it take for the activation process to complete?,0.422991629,,15,0.630125808,0.718618787,0.525256795,19,,10,0.526315789,15,0.789473684
17,0,Will activating my card automatically link it with other accounts or services that I use?,0.598749498,,16,0.492351608,0.623860451,0.271031028,48,,26,0.541666667,15,0.3125
18,0,Are there any fees associated with activating the card?,0.575032637,,17,0.600248781,0.74470533,0.379187589,56,,31,0.553571429,43,0.767857143
19,0,What should I do if there's an error message when trying to activate my card?,0.711319837,,18,0.603382125,0.785677117,0.173166065,266,,154,0.578947368,212,0.796992481
20,0,Please provide me with the steps to activate my new card.,0.785174989,,19,0.598432419,0.712279227,0.494790495,37,,20,0.540540541,31,0.837837838
21,0,Is there a time limit on activating my card?,0.601117346,,20,0.510612353,0.644995719,0.272513918,65,,36,0.553846154,26,0.4
22,0,"I am having trouble activating my card, can you help?",0.755507555,,21,0.591596176,0.778041068,0.258254072,145,,86,0.593103448,102,0.703448276
23,0,How do I confirm that my card has been successfully activated?,0.711749375,,22,0.503142341,0.669068108,0.274515199,212,,112,0.528301887,78,0.367924528
24,0,Do I need to call a specific number to activate my card or can it be done online?,0.725325796,,23,0.452796073,0.614861657,0.09812092,314,,179,0.570063694,63,0.200636943
25,0,Can you walk me through the process of activating this particular type of card?,0.720551341,,24,0.453479263,0.586408367,0.232683092,127,,73,0.57480315,21,0.165354331
26,0,What happens if I don't activate my new card before its expiration date?,0.602181846,,25,0.570646401,0.718945075,0.264988935,83,,48,0.578313253,56,0.674698795
27,0,Should I expect any fees associated with activating my new credit/debit/prepaid/etc.card?,0.465111815,,26,0.594921459,0.672931126,0.450689421,47,,26,0.553191489,39,0.829787234
28,0,Which device is recommended for activation of this type of cards- Mobile or Laptop/Desktop?,0.537962616,,27,0.595745528,0.734996683,0.364524896,124,,71,0.572580645,90,0.725806452
29,0,"How would be informed that the activation is successful, is there any confirmation message or email from the bank end ?",0.469570651,,28,0.511178158,0.627135004,0.318061131,21,,12,0.571428571,11,0.523809524
