,id,class,text,kazakh
0,0,11,I am still waiting on my card?,Мен әлі күнге дейін картамды күтіп тұрмын ба? 
1,1,11,What can I do if my card still hasn't arrived after 2 weeks?,Егер картам 2 аптадан кейін де келмесе не істей аламын? 
2,2,11,I have been waiting over a week. Is the card still coming?,Мен бір аптадан астам уақыт күттім. Карта әлі де келе ме? 
3,3,11,Can I track my card while it is in the process of delivery?,Мен картамды жеткізу процесінде болған кезде қадағалай аламын ба? 
4,4,11,"How do I know if I will get my card, or if it is lost?","Мен картамды қалай білемін, немесе жоғалып кетті ме? "
5,5,11,When did you send me my new card?,Жаңа картамды қашан жібердің? 
6,6,11,Do you have info about the card on delivery?,Жеткізу кезінде карта туралы мәлімет бар ма? 
7,7,11,What do I do if I still have not received my new card?,Жаңа картамды әлі алған жоқ болсам не істеу керек? 
8,8,11,Does the package with my card have tracking?,Менің картамдағы пакеттерде ізденуі бар ма? 
9,9,11,I ordered my card but it still isn't here,"Мен картамды тапсырдым, бірақ ол әлі де мұнда жоқ. "
10,10,11,Why has my new card still not come?,Неге жаңа картам әлі келмеді? 
11,11,11,"I still haven't received my card after two weeks, is it lost?","Мен әлі күнге дейін екі аптадан кейін картамды алмадым, жоғалып кетті ме? "
12,12,11,Can you track my card for me?,Менің картамды сонда таба аласың ба? 
13,13,11,Is there a way to track the delivery of my card?,Картамның жеткізілуін бақылаудың бір жолы бар ма? 
14,14,11,It's been a week since I ordered my card and it's not here. Please help?,"Мен картамды тапсырғаннан бері бір апта өтті, бірақ ол мұнда жоқ. Көмекші болсын? "
15,15,11,Will I be able to track the card that was sent to me?,Маған жіберілген картаны іздеуге бола ма? 
16,16,11,I don't have my card in 1 week.  Should I be worried?,Менде бір аптадан бері картасы жоқ. Қауіпленуім керек пе? 
17,17,11,How do I know when my new card is going to arrive?,Жаңа картамның қашан келетінін қайдан білемін? 
18,18,11,My new card has not been delivered to my home yet. What is going on?,Жаңа картам әлі үйге жеткізілмеген. Не болып жатыр? 
19,19,11,It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,"Сіз маған карта бергеннен бері бір апта өтті, мен оны әлі күнге дейін алмаймын. Күте берейін бе? "
20,20,11,"On the card that is coming, what's the tracking info?","Келе жатқан картада, іздендіру мәліметі қандай? "
21,21,11,What is the status of my card's delivery?,Картамның тапсырысы қандай? 
22,22,11,Have you sent out my card yet?,Менің карточкамды жібердің бе? 
23,23,11,My card isn't here yet.,Менің картам әлі келген жоқ. 
24,24,11,where is my new card?,Жаңа картам қайда? 
25,25,11,It's been a week since you sent my card and I still don't have it.,Сіз менің картамды жібергеннен бері бір апта өтті және менде әлі де жоқ. 
26,26,11,How do I track the card you sent me?,Сіз жіберген картаны қалай іздеймін? 
27,27,11,When will I recieve my new card?,Жаңа картамды қашан аламын? 
28,28,11,When will I get my new card?,Жаңа картамды қашан аламын? 
29,29,11,What is the expected delivery date for my card?,Картамның жеткізілу мерзімі қандай? 
30,30,11,Is there a tracking number for the card you sent me?,Сіз маған жіберген картаның іздендіру нөмірі бар ма? 
31,31,11,I would like to track the card you sent to me.,Сіз жіберген картаны іздеп көргім келеді. 
32,32,11,Has my card been lost in delivery?,Менен картасыңыз жеткізілім кезінде жоғалып кетті ме? 
33,33,11,My new card hasn't came in.,Жаңа картам әлі келген жоқ. 
34,34,11,Where is the card I ordered 2 weeks ago?,Мен екі апта бұрын тапсырған карта қайда? 
35,35,11,Can I get an update on my replacement card?,Өркін картамды жаңарта аламын ба? 
36,36,11,How long does it take for a new card to ship?,Жаңа картаны жеткізуге қанша уақыт кетеді? 
37,37,11,What's the tracking on the card you sent?,Сіз жіберген картаның ізденуі не? 
38,38,11,I haven't received my card and am worried it is lost.,Мен картамды әлі алған жоқпын және жоғалған деп уайымдаймын. 
39,39,11,My card still hasn't been delivered,Менің картам әлі жеткізілмеген. 
40,40,11,I need to find out where the card is that I ordered.,Мен тапсырған картаның қайда екенін білуге тиіспін. 
41,41,11,Where is my credit card that was to be mailed?,Менен поштамен жіберілетін кредиттік картам қайда? 
42,42,11,I ordered my card but it hasn't been delivered yet,"Мен картамды тапсырдым, бірақ ол әлі жеткізілмеген. "
43,43,11,Am I able to track the card that was just sent to me?,Мен жаңадан жіберілген картаны іздей аламын ба? 
44,44,11,Can you tell me why I haven't received my new card?,Жаңа картамды неге алмағанымды айта аласыз ба? 
45,45,11,I'm still waiting for my new card.,Мен әлі де жаңа картамды күтіп тұрмын. 
46,46,11,Is my card lost? I am still waiting for it to be delivered.,Картам жоғалып кетті ме? Мен әлі де оны жеткізуді күтіп тұрмын. 
47,47,11,Should I keep waiting for my card to be delivered?,Мен картамды жеткізуді күте тұрамын ба? 
48,48,11,Can I track when my card will be delivered?,Картамның қай уақытта жеткізілетінін білемін бе? 
49,49,11,How can I check on the status of my new card?,Жаңа картаның жай-күйін қалай тексеру керек? 
50,50,11,"A card has been sent to me, how do I track it?","Мен үшін карта жіберілді, оны қалай қадағалаймын? "
51,51,11,Is there a way I can get my card expedited?,Картамды жеделдетудің бір жолы бар ма? 
52,52,11,What can I do to track the card you sent me?,Сіз жіберген картаны қалай іздесем болады? 
53,53,11,why hasnt my card come in yet?,Неге менің картам әлі келген жоқ? 
54,54,11,How can I periodically check the delivery of the card you sent?,Сіз жіберген картаның жеткізілімін қалай тексеруге болады? 
55,55,11,What's the reason my new card hasn't come?,Жаңа картамның неліктен келмегенін білесіз? 
56,56,11,How long does it take for me to get my new card?,Жаңа картамды алуға қанша уақыт кетеді? 
57,57,11,I don't have my card after 1 week. What are my next steps?,Бір апта өткеннен кейін картам жоқ. Келесі қадамдарым қандай? 
58,58,11,I know I'm getting a new card but would like know when I can expect to receive it.,"Мен жаңа картаны аламын, бірақ оны қашан алуға болады деп ойлаймын. "
59,59,11,I want to find out what happened to my new card?,Жаңа картама не болғанын білуге? 
60,60,11,Was there a way for me to get tracking for that?,Мен үшін соны іздеуге жол болды ма? 
61,61,11,I am still waiting for my card.,Мен әлі күнге дейін картамды күтіп тұрмын. 
62,62,11,My card hasn't arrived.,Менің картам әлі келген жоқ. 
63,63,11,Can I track the card you sent to me?,Сіз жіберген картаны сонда іздеуге бола ма? 
64,64,11,I haven't gotten my new card.,Мен жаңа картамды алмадым. 
65,65,11,How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,"Жаңа картасы қанша уақытқа дейін поштамен келіп түседі? Егер оны ешқашан қабылдамасам, не істесем болады? "
66,66,11,Will I have to wait much longer for my new card to arrive?,Жаңа картасыма көп уақыт күту керек пе? 
67,67,11,how to track the card you sent,жіберген карточканы қалай бақылауға болады 
68,68,11,2 weeks ago I ordered my new card.  It isn't here.  What should I do?,Екі апта бұрын жаңа картамды тапсырдым. Ол мұнда жоқ. Не істеуім керек? 
69,69,11,How can I check on the delivery status of my card?,Картамның жеткізілімін қалай тексеру керек? 
70,70,11,"My card has not been delivered yet and its been a week since I ordered it, please help","Мен картамды әлі жеткізілмеген және оны тапсырғаннан бері бір апта өтті, көмектесіңіздерші "
71,71,11,What's the expected wait time to recieve my new card?,Жаңа картамды алу үшін қанша уақыт күтіледі? 
72,72,11,How can I see the progress of delivery of the card that was sent?,Жіберген картаның жеткізілу барысын қалай көремін? 
73,73,11,"My card was supposed to arrive, but hasn't?",Менің карточкам келіп жетпеді ме? 
74,74,11,I ordered a card and would like to know how to track the delivery progress of it.,Мен картаны тапсырдым және оның жеткізілімін қалай қадағалай алатындығын білгім келеді. 
75,75,11,How long will it take for me to get my card?,Мен картамды алуға қанша уақыт кетеді? 
