,id,class,text,kazakh
0,0,0,Is there a specific time frame within which I need to activate the newly received card?,Жаңадан алған картаны қосуға нақты уақыт бар ма? 
1,1,0,Could you tell me how long it takes for a new credit/debit card to be activated?,Жаңа кредиттік/дебет картасының белсендірілуіне қанша уақыт кетеді? 
2,2,0,"My debit/credit cards have been lost, what should I do from here on-wards? How will they be reactivated?","Дебет/кредит карталарым жоғалып кетті, бұдан кейін не істеуім керек? Олар қалай қайтадан белсендіріледі? "
3,3,0,What happens if there is an error in activating a bank's debit or credit cards?,Банктің дебеттік немесе кредиттік карталарын қосуда қате пайда болса не болады? 
4,4,0,Do I need to have a certain amount of money in my account before activating the card?,Картаны қосудан бұрын менің шотымда белгілі бір ақша болуы керек пе? 
5,5,0,Can I activate multiple cards at once?,Бір мезгілде бірнеше картаны қосуға бола ма? 
6,6,0,How long does it take for the activation process to complete?,Активациялау процесі қанша уақытқа созылады? 
7,7,0,Will activating my card automatically link it with other accounts or services that I use?,Менің картамды белсендіргенім оны басқа тіркелгілер мен қызметтермен автоматты түрде байланыстыра ма? 
8,8,0,Are there any fees associated with activating the card?,Картаны қосуға байланысты қандай да бір алымдар бар ма? 
9,9,0,Is there a time limit on activating my card?,Картамды қосуға уақыт шегі бар ма? 
10,10,0,What happens if I don't activate my new card before its expiration date?,Егер жаңа картамды мерзімі өткенге дейін белсендірмесем не болады? 
11,11,0,Should I expect any fees associated with activating my new credit/debit/prepaid/etc.card?,Жаңа кредиттік/дебеттік/преплаталық/т.б. картаны қосумен байланысты қандай да бір алымдарды күтемін бе? 
12,12,0,Which device is recommended for activation of this type of cards- Mobile or Laptop/Desktop?,Бұл карточкалардың түрін қосу үшін қандай құрылғы ұсынылады: ұялы немесе ноутбук/десктоп? 
13,13,0,"How would be informed that the activation is successful, is there any confirmation message or email from the bank end ?","Банктің құлдыруын қалай білуге болады, банктің соңғысынан растау хабарламасы немесе электрондық поштасы бар ма? "
14,14,0,How do I enable my card for transactions?,Мен картамды транзакциялар үшін қалай рұқсат етемін? 
15,15,0,Is there a way to activate my card without visiting a branch office?,Филиалға бармай-ақ картамды қосудың бір жолы бар ма? 
16,16,0,What are the requirements for activating a new credit card?,Жаңа кредиттік картаны қосу үшін қандай талаптар қойылады? 
17,17,0,"The activation process for my prepaid card is not functioning correctly, can you assist me in fixing it?","Менің алдын ала төленген картамның белсендіру процесі дұрыс жұмыс істемейді, оны түзетуге көмектесе аласыз ба? "
18,18,0,May you please guide me through the steps of activating my gift card?,Құрметті картаны қосудың қадамдарын көрсетіңізші. 
19,19,0,What is the easiest way to switch on and start using my new credit/ debit/ gift/ loyalty/ reward cards?,Жаңа кредиттік/дебет/кіремет/адалдық/корыштама карталарымды қосудың ең оңай жолы не? 
20,20,0,How soon will I be able to use the activated Mastercard?,Мен қашандан бастап Mastercard-ты пайдалана аламын? 
21,21,0,Is there a fee for activating my new card?,Жаңа картамды қосу үшін ақы төлеу керек пе? 
22,22,0,Why do I need to activate my replacement card if it's the same account?,"Егер бұл бір үкiстiк шот болса, неге мен өзiмiнiң картасын белсендiрiп қоюым керек? "
23,23,0,Will activating my new card cancel my old one automatically?,Жаңа картамды қосу бұрынғы картаны автоматты түрде жоюға ма? 
24,24,0,Why is it important for me to activate my card before using it?,Неліктен картаны пайдаланудан бұрын оны қосу маңызды? 
25,25,0,Do all cards require activation before use or only certain types?,"Барлық карталар пайдалану алдында белсендірілуді талап етеді ме, әлде тек белгілі бір түрлер? "
26,26,0,What documents are needed to complete the process of activating a new credit or debit card?,Жаңа кредиттік немесе дебеттік картаны қосу процесін аяқтау үшін қандай құжаттар қажет? 
27,27,0,"How will I know when the activation process of your new credit or debit is complete; Will anyone contact me after this process is done, and if so, how long does that take normally?.","Жаңа кредитіңіздің немесе дебетіңіздің белсенділеу процесі аяқталғанда неден білемін; осы процесс аяқталғаннан кейін маған ешкім хабарласа ма, егер солай болса, бұл әдетте қанша уақыт алады? "
28,28,0,Is there a phone number for customer support in case I have problems during the activation process of my card?,"Картамды белсендіру кезінде проблемалар туындаса, клиенттерге қолдау көрсету үшін телефон нөмірі бар ма? "
29,29,0,How can I make sure that the activation of my new account goes smoothly and quickly?,Жаңа тіркелгімнің тезірек және тезірек іске қосылуына қалай көз жеткізуге болады? 
30,30,0,I need help in activating this specific type of credit card; is there support available for that?,Бұл кредиттік картаның нақты түрін қосуға көмек қажет. Ол үшін қолдау бар ма? 
31,31,0,Can you give me an estimate on how long it takes to activate a debit card?,Дебет картасын қосуға қанша уақыт кетеді? 
32,32,0,"Once I activate this credit card, when will it be ready to use?","Мен осы кредиттік картаны іске қойсам, ол қашан пайдалануға дайын болады? "
33,33,1,"My son is turning 16, can he set up his own checking account with your bank?","Менің ұлым 16 жасқа толады, ол өз банкіңізде есеп айырысуын жасай ала ма? "
34,34,1,What documents are needed for a minor to open a bank account with you guys?,Сіздермен банкте шот ашу үшін қандай құжаттар қажет? 
35,35,1,"I'd like to start saving early for my child's future, what's the minimum age for setting up an investment portfolio with your service?",Балаларымның болашағы үшін ертеден жинақ жасай бастағым келеді. Сіздің қызметіңізбен инвестициялық портфель құруға ең аз жасқа дейін не керек? 
